PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),90,Upravljanje poljoprivrednim gospodarstvom,815,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica upravljanja poljoprivrednim gospodarstvom,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,Zaštita bilja,816,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica zaštite bilja,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),90,Proizvodni sustavi u stočarstvu,817,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  proizvodnih sustava u stočarstvu,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),90,Svinjogojstvo,818,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica svinjogojstva,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),90,Kakvoća i sigurnost animalnih proizvoda,819,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet agrobiotehničkih znanosti, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  kakvoće i sigurnosti animalnih proizvoda,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,90,Upravljanje razvojem lokalne i regionalne samouprave,821,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica upravljanja razvojem  lokalne i regionalne  samouprave,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,90,Kazneno pravo,822,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica kaznenog prava,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Zaštita prirode i okoliša,823,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica zaštite prirode i okoliša,Javno
2.04.  TEHNIČKE ZNANOSTI / Geodezija,60,Geodezija i geoinformatika,824,sveučilišni,poslijediplomski specijalistički studiji,"Geodetski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica geodezije i geoinformatike,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,60,Prevoditeljstvo,825,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,"sveučilišni specijalist/sveučilišna specijalistica engleskog jezika, njemačkog jezika, francuskog jezika, talijanskog jezika (navodi se jezik prema završenom programu)",Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,60,Konferencijsko prevođenje,826,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica konferencijskog prevođenja,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,90,Menadžment poslovnih sustava,827,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,1.5,VARAŽDIN,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica menadžmenta poslovnih sustava,Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,60,Transportna logistika i menadžment,828,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet prometnih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica transportne logistike i menadžmenta,Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,60,Intermodalni transport,829,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet prometnih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica intermodalnog transporta,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,90,Upravljanje sigurnošću i revizija informacijskih sustava,830,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,1.5,VARAŽDIN,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica upravljanja sigurnošću i revizije informacijskih sustava,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,60,Obiteljska medicina,831,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a magistar/magistra obiteljske medicine,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Poslovanje s Europskom unijom,832,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica za poslovanje s Europskom unijom,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Urologija,833,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra urologije,Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,60,Gradski promet,834,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet prometnih znanosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica gradskog prometa,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),60,Ribarstvo,835,sveučilišni,poslijediplomski specijalistički studiji,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  ribarstva,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,90,Inženjerstvo i reinženjerstvo organizacija informacijskog doba,836,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,1.5,VARAŽDIN,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica inženjerstva i reinženjerstva organizacije informacijskog doba,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Računovodstvo,837,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  računovodstva,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Menadžment u javnom sektoru,838,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica menadžmenta u javnom sektoru,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Inteligentno elektroničko poslovanje,839,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  inteligentnog elektroničkog poslovanja,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Kontroling,840,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica kontrolinga,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Menadžment trgovine,841,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica menadžmenta trgovine,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Strateško poduzetništvo,842,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica strateškog poduzetništva,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Informatički menadžment,843,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica informatičkog menadžmenta,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Strategija i korporativno upravljanje,844,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica strategije i korporativnog upravljanja,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Organizacija i menadžment,845,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica organizacije i menadžmenta,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,90,Upravljanje ekonomskim razvojem,846,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica upravljanja ekonomskim razvojem,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,90,Napredne komunikacijske tehnologije,848,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica naprednih komunikacijskih tehnologija,Javno
2.09.  TEHNIČKE ZNANOSTI / Računarstvo,90,Procesno računarstvo,849,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica procesnog računarstva,Javno
2.11.  TEHNIČKE ZNANOSTI / Strojarstvo,90,"Razvoj proizvoda i tehnologija; smjerovi: Inženjerstvo materijala, Modeliranje i numerička analiza konstrukcija, Primjena proizvodnih postupaka, Proizvodni menadžment",850,sveučilišni,poslijediplomski specijalistički studiji,Strojarski fakultet u Slavonskom Brodu,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,SLAVONSKI BROD,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica strojarstva,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Poslovno upravljanje - MBA,851,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica poslovnog upravljanja-MBA,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Upravljačko računovodstvo i interna revizija,852,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica upravljačkog računovodstva i interne revizije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Menadžment turizma,853,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica menadžmenta turizma,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Pravni i gospodarski okvir poslovanja s Europskom unijom,854,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica pravnog i gospodarskog okvira poslovanja u Europskoj uniji,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Marketing neprofitnih organizacija,855,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica marketinga neprofitnih organizacija,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Upravljanje izvozom,856,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica upravljanja izvozom,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Marketinški menadžment,857,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica marketinškog menadžmenta,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Upravljanje kvalitetom,858,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica upravljanja kvalitetom,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Poslovni marketing,860,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica poslovnog marketinga,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Marketing menadžment,861,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica marketing menadžmenta,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Upravljanje financijskim institucijama,863,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica upravljanja financijskim institucijama,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Financijske institucije i tržišta,864,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica financijskih institucija i tržišta,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Međunarodna ekonomija i financije,865,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica međunarodne ekonomije i financija,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Analiza konkurentnosti,866,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica analize konkurentnosti,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Ekonomika Europske unije,867,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica ekonomike Europske unije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Lokalni ekonomski razvoj,868,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  lokalnog ekonomskog razvoja,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Upravljanje marketinškom komunikacijom,869,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica upravljanja marketinškom komunikacijom,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Međunarodno poslovanje poduzeća,870,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica međunarodnog poslovanja poduzeća,Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,90,Kriminalističko istraživanje,871,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Rijeci,Sveučilište u Rijeci,1.5,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica kriminalističkog istraživanja,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Operacijska istraživanja i optimizacija,872,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica operacijskih istraživanja i optimizacije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Menadžment prodaje,873,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica menadžmenta prodaje,Javno
4.05.  BIOTEHNIČKE ZNANOSTI / Prehrambena tehnologija,90,Upravljanje hranom,874,sveučilišni,poslijediplomski specijalistički studiji,Prehrambeno-biotehnološki fakultet,Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica upravljanja hranom,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,60,"Građevinarstvo; smjerovi: Potresno inženjerstvo, Upravljanje građevinskim projektima, Zaštita okoliša u građevinarstvu",875,sveučilišni,poslijediplomski specijalistički studiji,Građevinski i arhitektonski fakultet Osijek,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica potresnog inženjerstva; sveučilišni/a specijalist/specijalistica upravljanja građevinskim projektima; sveučilišni/a specijalist/specijalistica zaštite okoliša u građevinarstvu,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Ljudski resursi i društvo znanja,877,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,1,PULA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica ljudskih resursa i društva znanja,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Biomedicina razvojne dobi,878,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a magistar/magistra biomedicine razvojne dobi,Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,90,Primijenjena kineziologija u rekreaciji,879,sveučilišni,poslijediplomski specijalistički studiji,"Kineziološki fakultet, Zagreb",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica primijenjene kineziologije u rekreaciji,Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,90,Primijenjena kineziologija u sportu,880,sveučilišni,poslijediplomski specijalistički studiji,"Kineziološki fakultet, Zagreb",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica primijenjene kineziologije u sportu,Javno
